"classifier_set","ft_group","ecoregion","owner","treatment","age","merch_vol_m3_ha","foliage_kgC_m2","other_above_kgC_m2","total_above_kgC_m2"
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",15,9.502,0.0054,0.0194,0.108
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",150,124.654,0.0223,0.0802,0.4454
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",20,21.396,0.0096,0.0346,0.1922
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",25,36.155,0.0134,0.0481,0.2674
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",30,51.554,0.0163,0.0586,0.3254
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",35,65.978,0.0183,0.066,0.3666
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",40,78.567,0.0197,0.071,0.3946
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",45,89.04,0.0206,0.0743,0.4129
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",5,0.153,2e-04,6e-04,0.0032
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",50,97.465,0.0212,0.0765,0.4248
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",55,104.086,0.0216,0.0778,0.4324
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",60,109.201,0.0219,0.0787,0.4372
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",65,113.105,0.022,0.0792,0.4402
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",70,116.058,0.0221,0.0796,0.4421
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",75,118.278,0.0222,0.0798,0.4433
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",80,119.938,0.0222,0.0799,0.4441
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",85,121.176,0.0222,0.08,0.4446
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",90,122.097,0.0222,0.0801,0.4449
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",95,122.78,0.0223,0.0801,0.4451
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",10,3.225,0.0041,0.0147,0.0817
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",100,136.807,0.0225,0.081,0.4499
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",105,137.854,0.0225,0.0812,0.451
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",110,138.687,0.0226,0.0813,0.4518
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",115,139.35,0.0226,0.0814,0.4524
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",120,139.877,0.0226,0.0815,0.4528
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",125,140.296,0.0227,0.0816,0.4532
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",130,140.628,0.0227,0.0816,0.4534
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",135,140.892,0.0227,0.0817,0.4537
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",140,141.101,0.0227,0.0817,0.4538
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",145,141.267,0.0227,0.0817,0.4539
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",15,10.185,0.0071,0.0256,0.1423
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",150,141.399,0.0227,0.0817,0.454
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",20,20.836,0.01,0.0359,0.1996
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",25,33.848,0.0125,0.045,0.2499
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",30,47.794,0.0146,0.0526,0.2922
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",35,61.546,0.0163,0.0588,0.3269
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",40,74.36,0.0177,0.0638,0.3547
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",45,85.833,0.0188,0.0678,0.3768
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",5,0.345,0.0014,0.0049,0.0272
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",50,95.812,0.0197,0.071,0.3942
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",55,104.308,0.0204,0.0734,0.4078
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",60,111.424,0.0209,0.0753,0.4184
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",65,117.311,0.0213,0.0768,0.4266
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",70,122.137,0.0217,0.0779,0.433
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",75,126.063,0.0219,0.0788,0.4379
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",80,129.239,0.0221,0.0795,0.4417
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",85,131.798,0.0222,0.08,0.4446
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",90,133.851,0.0223,0.0804,0.4469
"Aspen-birch/ME_NH/NIPF/untreated","Aspen-birch","ME_NH","NIPF","untreated",95,135.495,0.0224,0.0808,0.4486
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",10,2.65,6e-04,0.0021,0.0116
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",100,89.312,0.0205,0.0737,0.4092
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",105,89.453,0.0205,0.0738,0.4099
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",110,89.554,0.0205,0.0739,0.4104
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",115,89.625,0.0205,0.0739,0.4108
