STATECD,UNITCD,COUNTYCD,PLOT,sdimax_metric_mean,sdimax_metric_median,sdimax_english_mean,sdimax_english_median,PLT_CN,CONDID,FORTYPCD,OWNGRPCD,SITECLCD
9,1,5,663,588.868074592723,566.533486087175,238.306430087401,229.26794373728,119774323010661,1,503,40,5
9,1,5,676,1059.90210789421,1090.33358293996,428.927120474433,441.242300212207,445525702489998,1,516,40,6
9,1,5,683,283.489988849056,288.845703231077,114.724316231374,116.89169671949,144992172010661,1,708,40,6
9,1,7,4,449.946486152707,437.420784975616,182.0868637166,177.017892820328,944325473290487,1,515,40,4
9,1,7,145,625.740763787895,671.258392716235,253.228276437963,271.648605411405,814949810290487,1,962,30,6
9,1,7,191,472.321932609884,512.707611274199,191.14188469139,207.485387293066,719393322290487,1,962,40,6
9,1,7,199,807.087692489498,890.74139133656,326.616767087728,360.470214397871,814949826290487,2,503,40,5
9,1,7,233,1082.26951843062,1040.97713896085,437.978889427807,421.268458066655,814949763290487,1,503,40,5
9,1,7,261,491.973456292959,468.244029069313,199.09457334399,189.491615850332,503649760126144,2,503,30,6
9,1,7,289,916.701879759593,859.451407200026,370.976050231639,347.807608393587,445525671489998,1,962,30,6
9,1,7,322,697.440963960809,748.43067942623,282.244314965058,302.879118562012,14167117020004,1,503,40,5
9,1,7,337,692.341017632964,728.10081481348,280.180440125407,294.651915103282,445525670489998,1,503,40,5
9,1,7,347,529.350793824182,487.667138621844,214.220643609215,197.351868593464,445525669489998,2,520,40,6
9,1,7,351,866.260214343517,855.281843268701,350.563034597735,346.1202459123,814949825290487,1,503,40,5
9,1,7,380,1251.41616461753,1193.06903080953,506.430101427944,482.817856574573,719393252290487,1,801,40,6
9,1,7,392,647.003328663251,620.017215736306,261.832930262085,250.912038960576,567481542126144,1,608,40,6
9,1,7,398,456.121919163274,446.479545943661,184.585972529741,180.683842937938,1285453433290487,1,171,30,5
9,1,7,422,795.70108508157,765.080389195308,322.008771036886,309.617016349737,814949758290487,1,503,30,5
9,1,7,456,748.751066265123,736.386360323423,303.008774502141,298.004956059301,14167128020004,1,608,40,6
9,1,7,493,1473.81812787274,1475.1379292302,596.432973369057,596.967077973281,503649769126144,1,384,40,5
9,1,7,498,754.949524228019,734.621949996783,305.51720118193,297.290924607618,814949754290487,1,503,30,5
9,1,7,511,800.365060593044,988.633824821438,323.896214765132,400.085872578159,567481554126144,2,708,40,6
9,1,7,527,1006.08388006468,949.867633070252,407.147658654303,384.397753009615,1285453475290487,1,503,30,5
