PLT_CN,asym_agb
24985,171.14
24987,168.63
24988,179.74
24990,191.51
24992,189.72
24993,196.34
24995,187.16
24996,196.93
24998,210.14
24999,194.03
25002,176.84
25003,184.97
25005,195.79
25007,180.67
25008,176.65
25010,176.72
25012,180.87
25013,179.45
24193955010900,205.38
24145365010900,220.74
26379150010900,260.66
24145447010900,263.18
26379269010900,256.83
26379286010900,253.33
26379303010900,252.72
24150101010900,231.21
24151136010900,205.77
24152069010900,275.92
22398239010497,277.1
24149957010900,156.45
24150753010900,236.1
24149614010900,231.77
24150777010900,181.75
24151481010900,273.11
24151714010900,267.09
24150764010900,235.87
24151234010900,273.2
24149217010900,246.42
24149445010900,178.95
24149942010900,226.88
22398234010497,261.45
24151150010900,252.93
24150481010900,231.39
22398237010497,255.26
22398238010497,277.06
24151495010900,261.93
24151898010900,275.51
24152056010900,281.76
22398236010497,294.62
24150326010900,247.91
24150792010900,269.92
24151506010900,170.57
22398235010497,251.38
24152479010900,200.61
24152226010900,197.54
26379320010900,253.36
24152925010900,228.82
24152241010900,219.99
24153161010900,182.02
24152642010900,196.5
24183298010900,194.24
24183014010900,284.11
24182937010900,193.29
24182570010900,160.82
22398314010497,254.92
24183904010900,224.02
24184172010900,253.7
24182557010900,236.94
24181467010900,268.33
24182090010900,284.72
24181671010900,193.53
24182732010900,200.98
24184034010900,212.66
22398316010497,232.09
24184186010900,233.67
24182303010900,288.78
22398315010497,254.61
24181879010900,241.71
24183554010900,259.68
24182719010900,245.56
24182317010900,272.24
24184020010900,243.13
26379388010900,257.04
26379405010900,256.13
26379422010900,260.94
24184344010900,238.98
24184197010900,260.02
24184208010900,223.88
26379713010900,259.26
24185386010900,227.09
24185687010900,223.51
24185085010900,281.63
24187119010900,319.07
24184569010900,184.53
24185372010900,226.69
24195284010900,277.2
24186246010900,178.32
22398318010497,270.08
24186703010900,282.92
24169158010900,221.3
24185970010900,196.21
22398324010497,219.95
24185416010900,272.61
24185402010900,226.15
22398320010497,283.66
24186143010900,244.39
24185902010900,172.69
22398317010497,270.72
22398322010497,265.72
24184556010900,251.43
24187134010900,237.02
24186459010900,297.52
24184758010900,263.18
24185701010900,187.01
24187148010900,184.81
22398323010497,282.59
22398319010497,267.8
26379730010900,261.07
24192363010900,190.54
22398354010497,238.28
22398359010497,284.33
22398364010497,270.82
24193687010900,271.59
24193223010900,246.33
24193194010900,325.06
22398357010497,279.91
24193544010900,186
24192177010900,266.94
24194292010900,274.73
24191871010900,268.43
24193999010900,167.74
24194431010900,252.73
22398360010497,239.67
24193984010900,214.74
22398353010497,251.75
24193041010900,245.15
24192848010900,146.06
24193209010900,318.16
24193055010900,273.99
24192561010900,279.65
22398356010497,271.59
22398361010497,236.42
22398358010497,263.01
24193969010900,217.48
22398363010497,219.1
24192163010900,217.9
22398362010497,277.41
24194797010900,236.57
24192148010900,211.02
26379747010900,259.34
26379764010900,260.68
24204972010900,210.73
24202303010900,215.27
24204496010900,237.77
30826412020004,245.55
24204728010900,280.58
30826416020004,202.17
24205541010900,223.18
24203697010900,243.17
24203073010900,191.7
24203361010900,276.51
24204095010900,271.64
22398371010497,293.85
24206054010900,209.53
22398372010497,251.87
24204444010900,220.02
24202451010900,233.28
24204171010900,217.67
22398370010497,273.63
22398374010497,267.98
24203376010900,239.62
30826326020004,217.68
24206263010900,185.02
24202790010900,183.47
24205275010900,288.66
24203890010900,203.56
24204109010900,256.7
24205848010900,176.35
22398373010497,290
24206435010900,219.21
24205290010900,281.6
22398375010497,240.32
24206277010900,277.85
22398626010497,219.45
24205862010900,302.99
22398369010497,231.44
26378874010900,257.09
26378895010900,257.32
26378912010900,236.51
26378946010900,260.91
26378963010900,258.94
26378980010900,256.6
26378997010900,264.02
26379014010900,257.25
26379031010900,259.12
26379065010900,257.98
24126993010900,195.31
24128337010900,217.09
24129211010900,215.16
22398208010497,203.03
24127366010900,216.78
24128987010900,186.59
22398205010497,236.48
24129466010900,230.01
24127766010900,218.92
24128056010900,300.84
22398204010497,216.76
24128071010900,220.05
26379048010900,257.55
26378929010900,255.66
13229700010497,282.12
24126717010900,228.91
24126702010900,305.07
24128601010900,223.51
22398206010497,205.02
24128718010900,276.35
22398207010497,271.72
24126688010900,285.07
24128351010900,226.44
22398209010497,215.99
13229216010497,242.12
24141501010900,175.06
26379082010900,251.84
26379099010900,261.33
26379116010900,260.54
26379133010900,260.95
24142911010900,205.25
24142021010900,163.03
24140904010900,157.67
24143523010900,200.26
24144773010900,228.63
24143992010900,203.37
24143306010900,213.98
24144528010900,234.99
24143105010900,187.71
24142440010900,177.99
24141321010900,179.23
22398231010497,196.95
24139960010900,193.56
22398228010497,210.06
24143771010900,204.33
24141683010900,177.75
24145147010900,224.15
24140680010900,171.75
24144992010900,220.69
22398226010497,183.78
22398229010497,205.06
24140305010900,193.75
22398230010497,188.14
24140187010900,176.73
24140501010900,173.02
24142232010900,160.26
22398227010497,249.1
24142752010900,183.24
24141158010900,162.78
24148349010900,215.65
26379167010900,259.91
26379201010900,264.71
26379235010900,262.71
26379252010900,260.43
24148975010900,295.65
22398233010497,245.3
24146682010900,255.35
24147565010900,212.29
24146892010900,154.3
24148990010900,163.05
26379218010900,261.36
26379184010900,255.93
24145502010900,170.25
24146243010900,222.39
24147550010900,290.05
24147535010900,268.97
24148755010900,240.17
24147043010900,213.29
24145995010900,282.89
24147291010900,316.53
24146474010900,178.11
24147975010900,231.23
24148518010900,232.89
24147306010900,291.09
22398232010497,186.07
24148207010900,220.33
24145628010900,241.59
22398267010497,185.53
24165577010900,268.37
24164825010900,213.19
24164450010900,188.14
24165155010900,175.5
24164989010900,176.19
22398266010497,173.72
24164617010900,172.21
24165450010900,197.07
24165566010900,233.36
24164232010900,188.24
13384702010497,162.33
22398265010497,175.41
24201391010900,202.27
24201376010900,188.34
24201406010900,217.5
24201362010900,216.78
24201431010900,172.4
24201661010900,211.95
24201417010900,222.99
24201192010900,164.25
24130280010900,205.66
24129690010900,184.95
24129855010900,175.48
24129825010900,228.92
24130026010900,220.87
24132057010900,140.85
24132946010900,183.18
24131110010900,243.52
24131587010900,249.65
