scientific_name,common_name,CE,S,LAC,Score,Cluster,C_Rank
Quercus laevis,turkey oak,49.5,49.83,32.7,44.01,B,39
Platanus racemosa,California sycamore,41.25,57.51,31.78,43.51,B,40
Alnus rhombifolia,white alder,41.25,57.19,29.5,42.64,B,41
Betula occidentalis,water birch,41.25,51.52,34.5,42.42,B,42
Fraxinus latifolia,Oregon ash,24.75,63.27,33.26,40.43,B,43
Ulmus thomasii,rock elm,100.0,47.47,53.75,67.08,C,1
Quercus prinoides,dwarf chinquapin oak,91.5,54.2,54.84,66.85,C,2
Asimina triloba,pawpaw,100.0,33.12,67.04,66.72,C,3
Malus angustifolia,southern crabapple,100.0,42.83,54.16,65.66,C,4
Acer nigrum,black maple,91.5,53.72,51.4,65.54,C,5
Cotinus obovatus,smoketree,91.5,45.7,58.95,65.38,C,6
Quercus shumardii,Shumard oak,100.0,45.02,48.57,64.53,C,7
Carya laciniosa,shellbark hickory,100.0,41.37,50.27,63.88,C,8
Fraxinus quadrangulata,blue ash,100.0,45.82,44.45,63.42,C,9
Carya pallida,sand hickory,100.0,34.02,53.5,62.51,C,10
Malus ioensis,prairie crabapple,100.0,40.89,46.35,62.41,C,11
Salix caroliniana,coastal plain willow,100.0,34.02,51.71,61.91,C,12
Crataegus brainerdii,Brainerds hawthorn,100.0,51.89,32.16,61.35,C,13
Pinus pungens,Table Mountain pine,83.25,52.44,48.1,61.26,C,14
Acer saccharinum,silver maple,91.5,46.09,44.83,60.81,C,15
Juniperus ashei,Ashe juniper,83.0,33.33,65.78,60.71,C,16
Sideroxylon lanuginosum subsp. lanuginosum,gum bumelia,100.0,21.66,60.4,60.69,C,17
Populus heterophylla,swamp cottonwood,83.0,49.54,48.5,60.34,C,18
Quercus margarettiae,dwarf post oak,91.5,45.7,41.61,59.6,C,19
Quercus muehlenbergii,chinkapin oak,83.0,40.89,54.67,59.52,C,20
Planera aquatica,water-elm,91.5,44.81,41.03,59.11,C,21
Salix bebbiana,Bebb willow,91.5,29.21,51.76,57.49,C,22
Carya illinoinensis,pecan,91.5,36.35,44.39,57.41,C,23
Ulmus crassifolia,cedar elm,74.75,47.2,49.69,57.21,C,24
Juniperus pinchotii,Pinchot juniper,83.0,24.83,62.62,56.82,C,25
Condalia hookeri,bluewood,83.25,45.7,41.41,56.79,C,26
Morus rubra,red mulberry,91.5,29.42,48.65,56.52,C,27
Quercus imbricaria,shingle oak,91.5,32.91,44.48,56.3,C,28
Diospyros texana,Texas persimmon,83.0,41.54,44.18,56.24,C,29
Magnolia fraseri,mountain magnolia,66.25,43.22,56.27,55.25,C,30
Gleditsia triacanthos,honeylocust,91.5,17.52,56.19,55.07,C,31
Juglans nigra,black walnut,83.0,41.33,39.94,54.76,C,32
Quercus palustris,pin oak,83.0,32.91,48.1,54.67,C,33
Quercus sinuata var. sinuata,Durand oak,83.25,33.2,47.45,54.63,C,34
Ficus citrifolia,wild banyantree,74.75,50.0,39.04,54.6,C,35
Ehretia anacua,Anacua knockaway,66.5,50.78,46.06,54.45,C,36
Pinus cembroides,Mexican pinyon pine,66.0,49.27,47.71,54.33,C,37
Tilia americana,American basswood,66.25,40.11,56.17,54.18,C,38
Juniperus californica,California juniper,57.75,45.02,56.33,53.03,C,39
Nyssa aquatica,water tupelo,66.25,32.6,60.18,53.01,C,40
Juniperus coahuilensis,redberry juniper,74.5,36.77,46.77,52.68,C,41
Carya aquatica,water hickory,74.5,36.08,47.44,52.67,C,42
Pinus longaeva,bristlecone pine (Great Basin),57.75,40.89,58.21,52.29,C,43
Quercus lyrata,overcup oak,57.75,42.91,55.05,51.91,C,44
Juglans hindsii,northern California black walnut,66.25,41.63,45.36,51.08,C,45
Magnolia grandiflora,Southern magnolia,58.0,44.81,50.38,51.07,C,46
Diospyros virginiana,common persimmon,83.0,25.98,44.05,51.01,C,47
Pinus rigida,pitch pine,66.25,41.01,44.56,50.61,C,48
Pinus discolor,border pinyon,49.5,49.27,49.26,49.34,C,49
Picea glauca,white spruce,58.0,42.13,47.6,49.24,C,50
Pinus banksiana,jack pine,57.75,44.84,44.89,49.16,C,51
Carya cordiformis,bitternut hickory,66.25,37.45,41.77,48.49,C,52
Quercus similis,Delta post oak,66.25,33.2,45.56,48.34,C,53
Populus fremontii,Fremont cottonwood,58.25,42.27,43.59,48.04,C,54
Quercus ellipsoidalis,northern pin oak,74.5,16.5,53.01,48.0,C,55
Nyssa ogeche,Ogeechee tupelo,49.75,45.29,48.62,47.89,C,56
Carya texana,black hickory,66.25,41.58,35.51,47.78,C,57
Acacia farnesiana,sweet acacia,57.75,28.88,53.54,46.72,C,58
Robinia pseudoacacia,black locust,74.5,12.38,52.62,46.5,C,59
Picea mariana,black spruce,49.5,40.92,47.44,45.96,C,60
Quercus pagoda,cherrybark oak,57.75,32.23,47.64,45.87,C,61
Sorbus americana,American mountain-ash,49.5,42.67,44.35,45.5,C,62
Pinus resinosa,red pine,49.5,39.9,43.26,44.22,C,63
Quercus emoryi,Emory oak,41.25,35.31,55.74,44.1,C,64
Carya ovata,shagbark hickory,49.5,44.58,37.87,43.98,C,65
Quercus ilicifolia,scrub oak,49.75,33.0,47.9,43.55,C,66
Acer spicatum,mountain maple,49.5,40.72,39.03,43.08,C,67
Fraxinus nigra,black ash,57.75,28.21,43.06,43.01,C,68
Populus grandidentata,bigtooth aspen,41.25,24.01,54.38,39.88,C,69
Cupressus macrocarpa,Monterey cypress,57.75,58.57,59.28,58.53,D,1
Tilia americana var. caroliniana,Carolina basswood,58.25,53.51,58.81,56.85,D,2
Arbutus xalapensis,Texas madrone,41.25,71.92,56.97,56.71,D,3
Quercus michauxii,swamp chestnut oak,57.75,53.1,59.23,56.69,D,4
Pinus quadrifolia,four-leaf pine,33.0,74.19,62.59,56.59,D,5
