"prov","ft","n","n_dist","p_dist_ann","g_undist","g_dist","g_all","sev_frac","drag"
"8.3.6","Oak/hickory",1252,40,0.00446,0.725,0.757,0.726,0.0343,0.0076
"5.2.1","Maple/beech/birch",6303,150,0.00445,0.981,-0.229,0.952,0.1538,0.0461
"8.4.9","Oak/pine",560,19,0.00444,0.957,1.09,0.961,-0.0429,-0.0079
"5.2.1","White/red/jack pine",3004,71,0.00441,1.262,0.467,1.243,0.6342,0.1356
"8.1.7","Maple/beech/birch",248,6,0.00439,1.122,0.592,1.109,0.2686,0.0896
"6.2.12","Other western softwoods",71,3,0.00438,0.277,0.099,0.27,0.0194,0.0035
"8.4.9","Oak/gum/cypress",68,2,0.00419,0.841,2.112,0.878,-0.0807,-0.0186
"8.3.6","Oak/pine",399,12,0.00413,1.058,1.468,1.071,-0.0511,-0.0117
"7.1.7","Alder/maple",48,2,0.00412,2.299,-1.037,2.16,0.9569,0.2569
"8.3.8","Exotic hardwoods",45,2,0.00409,0.262,0.135,0.257,0.5359,0.0276
"8.4.7","Oak/gum/cypress",150,4,0.00404,1.056,2.103,1.084,0.0457,0.0078
"5.2.2","Spruce/fir",1685,34,0.00402,0.502,0.215,0.497,0.4185,0.0428
"8.2.1","Elm/ash/cottonwood",188,4,0.00398,1.034,0.831,1.03,0.1812,0.0275
"10.1.3","Pinyon/juniper",104,4,0.0039,0.113,0.071,0.111,0.405,0.0158
"5.3.1","White/red/jack pine",653,14,0.00383,1.253,1.055,1.249,0.0256,0.0079
"8.4.9","Loblolly/shortleaf pine",828,23,0.00381,2.305,2.153,2.301,-0.1226,-0.016
"6.2.3","Fir/spruce/mtn hemlock",445,17,0.00376,1.33,-0.676,1.253,0.2672,0.0604
"6.2.14","Douglas-fir",193,7,0.00375,0.064,-0.444,0.045,0.1414,0.0211
"5.3.3","Aspen/birch",47,1,0.00373,1.759,1.587,1.756,0.058,0.0072
"8.1.8","Spruce/fir",1781,33,0.00371,1.115,0.118,1.097,0.3034,0.0444
"13.1.1","Pinyon/juniper",1481,51,0.00369,0.026,-0.209,0.018,0.0839,0.0041
"8.2.2","Aspen/birch",54,1,0.00362,1.125,0.424,1.112,0.3807,0.0446
"8.5.2","Oak/hickory",270,6,0.00354,1.025,0.416,1.011,0.147,0.0289
"9.5.1","Oak/pine",40,1,0.00354,0.455,-0.277,0.437,0.1066,0.0153
"5.3.3","Maple/beech/birch",1053,20,0.00341,1.097,0.853,1.093,0.0238,0.007
"6.2.13","Fir/spruce/mtn hemlock",203,7,0.00339,0.091,-0.443,0.072,0.7421,0.105
"8.3.7","Oak/pine",2814,68,0.00329,0.606,0.091,0.594,-0.0301,-0.0043
"10.1.4","Pinyon/juniper",60,2,0.00328,0.057,0.008,0.055,-0.0055,-2e-04
"8.1.4","White/red/jack pine",669,12,0.00327,1.396,0.211,1.375,1.1778,0.1443
"8.1.7","Oak/pine",224,4,0.00325,1.241,-0.67,1.206,0.1862,0.0463
"10.1.7","Pinyon/juniper",1243,38,0.00325,0.032,-0.084,0.029,0.1131,0.0037
"6.2.14","Pinyon/juniper",494,15,0.00323,0.072,-0.016,0.069,0.1019,0.0048
"5.2.2","White/red/jack pine",123,2,0.00323,1.293,1.345,1.294,-0.007,-0.001
"8.1.8","Oak/hickory",65,1,0.00309,1.17,1.151,1.17,0.0016,3e-04
"5.3.1","Woodland hardwoods",60,1,0.00309,0.637,-0.007,0.626,0.0715,0.01
"6.2.4","Douglas-fir",64,2,0.00306,0.433,-0.686,0.398,0.1801,0.0268
"6.2.10","Douglas-fir",461,14,0.00297,0.333,-1.161,0.288,0.3399,0.041
"7.1.8","Redwood",70,2,0.00295,3.865,-10.596,3.452,0.6519,0.4033
"8.4.1","Woodland hardwoods",122,2,0.00293,1.093,-2.047,1.042,0.221,0.0382
"8.1.4","Oak/pine",251,4,0.0029,1.086,-0.663,1.058,0.1924,0.0236
"5.3.3","Woodland hardwoods",127,2,0.0027,1.164,-0.399,1.14,2.1904,0.3269
"8.1.8","Aspen/birch",673,9,0.00267,1.178,0.125,1.164,2.0796,0.2071
"8.3.7","Oak/hickory",2638,52,0.00261,-0.299,0.366,-0.286,-0.9806,-0.1103
"8.1.4","Spruce/fir",290,4,0.0025,0.522,-1.029,0.5,0.3268,0.0265
"8.1.8","White/red/jack pine",450,5,0.00223,1.446,-0.417,1.426,0.1751,0.0232
"10.1.6","Exotic hardwoods",192,4,0.00205,0.036,-0.089,0.033,0.3565,0.0058
"6.2.10","Fir/spruce/mtn hemlock",331,7,0.00205,0.302,-1.298,0.268,0.7603,0.071
"8.1.3","Oak/hickory",255,3,0.00205,1.557,0.958,1.55,0.0661,0.0108
"6.2.13","Lodgepole pine",52,1,0.00184,0.211,-7.732,0.058,0.6733,0.056
"6.2.13","Pinyon/juniper",300,5,0.00164,0.129,-0.049,0.126,0.0299,7e-04
"6.2.14","Fir/spruce/mtn hemlock",558,9,0.00163,0.151,-0.64,0.139,0.1757,0.0156
"10.1.6","Pinyon/juniper",1893,27,0.0014,0.028,-0.064,0.027,0.0505,9e-04
"6.2.14","Lodgepole pine",149,2,0.00134,0.303,-0.767,0.289,0.1762,0.0107
"6.2.4","Lodgepole pine",73,1,0.00133,0.632,-0.946,0.611,0.8494,0.0549
"5.3.3","Oak/hickory",546,4,0.00131,1.361,2.226,1.368,-0.1155,-0.0125
"10.1.5","Pinyon/juniper",1751,20,0.00121,0.07,-0.055,0.069,0.0522,7e-04
"6.2.10","Lodgepole pine",354,4,0.00112,0.281,0.006,0.277,0.0754,0.0035
"6.2.13","Aspen/birch",212,1,0.00046,-0.042,-1.075,-0.047,0.3385,0.0054
"6.2.13","Exotic hardwoods",249,1,0.00039,0.133,-0.069,0.132,1.7399,0.0101
"6.2.13","Douglas-fir",60,0,0,0.458,NA,0.458,0,0
"8.1.3","Exotic softwoods",42,0,0,1.471,NA,1.471,0,0
"8.4.2","Loblolly/shortleaf pine",46,0,0,0.741,NA,0.741,0,0
"8.2.1","Maple/beech/birch",99,0,0,0.778,NA,0.778,0,0
"8.5.4","Oak/gum/cypress",68,0,0,0.688,NA,0.688,0,0
"5.3.3","Oak/pine",43,0,0,1.882,NA,1.882,0,0
"8.1.8","Oak/pine",112,0,0,1.462,NA,1.462,0,0
"6.2.10","Other western softwoods",66,0,0,0.213,NA,0.213,0,0
"10.2.1","Pinyon/juniper",104,0,0,0.064,NA,0.064,0,0
"8.1.1","White/red/jack pine",55,0,0,1.008,NA,1.008,0,0
"8.1.6","White/red/jack pine",75,0,0,1.381,NA,1.381,0,0
"8.1.7","Woodland hardwoods",46,0,0,1.569,NA,1.569,0,0
