; YIELDS section: Maine FIA empirical chronosequence yield curves (v4)
; Source: github.com/holoros/fia-cem-maine v4 archive
; Generated 2 May 2026; conversion factors documented in PERSEUS_handoff.md
;
; Columns: AGE   AGB_tonac   Vol_m3ha   Carbon_tonac
;
*Y
Aspenbirch ME_APH Industrial untreated
70    36.551     102.900   16.448    
75    36.604     104.600   16.472    
80    36.636     105.800   16.486    
85    36.655     106.700   16.495    
90    36.666     107.400   16.500    
95    36.673     107.900   16.503    
100   36.677     108.200   16.505    
105   36.679     108.500   16.506    
110   36.681     108.600   16.506    
115   36.682     108.800   16.507    
120   36.682     108.900   16.507    
125   36.683     109.000   16.507    
130   36.683     109.000   16.507    
135   36.683     109.000   16.507    
140   36.683     109.100   16.507    
145   36.683     109.100   16.507    
150   36.683     109.100   16.507    

Sprucefir ME_APH NIPF harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.277      0.000     0.125     
10    0.706      0.100     0.318     
15    1.211      0.300     0.545     
20    1.769      0.900     0.796     
25    2.363      1.700     1.063     
30    2.985      3.000     1.343     
35    3.628      4.600     1.633     
40    4.287      6.700     1.929     
45    4.957      9.200     2.231     
50    5.636      12.100    2.536     
55    6.319      15.300    2.844     
60    7.006      18.900    3.153     
65    7.695      22.800    3.463     
70    8.382      27.000    3.772     
75    9.068      31.400    4.081     
80    9.751      36.000    4.388     
85    10.430     40.700    4.694     
90    11.104     45.500    4.997     
95    11.772     50.400    5.297     
100   12.434     55.400    5.595     
105   13.089     60.300    5.890     
110   13.736     65.300    6.181     
115   14.376     70.200    6.469     
120   15.007     75.000    6.753     
125   15.630     79.800    7.034     
130   16.243     84.500    7.309     
135   16.848     89.100    7.582     
140   17.444     93.500    7.850     
145   18.030     97.900    8.114     
150   18.607     102.100   8.373     

Sprucefir ME_APH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     5.594      14.600    2.517     
10    10.417     25.600    4.688     
15    14.628     35.300    6.583     
20    18.313     44.000    8.241     
25    21.543     52.000    9.694     
30    24.376     59.400    10.969    
35    26.862     66.300    12.088    
40    29.043     72.700    13.069    
45    30.958     78.700    13.931    
50    32.639     84.300    14.688    
55    34.116     89.700    15.352    
60    35.412     94.700    15.935    
65    36.551     99.400    16.448    
70    37.552     103.800   16.898    
75    38.431     108.000   17.294    
80    39.203     112.000   17.641    
85    39.881     115.700   17.946    
90    40.477     119.300   18.215    
95    41.000     122.600   18.450    
100   41.460     125.800   18.657    
105   41.864     128.800   18.839    
110   42.220     131.700   18.999    
115   42.532     134.400   19.139    
120   42.806     137.000   19.263    
125   43.047     139.400   19.371    
130   43.258     141.800   19.466    
135   43.444     144.000   19.550    
140   43.608     146.000   19.624    
145   43.751     148.000   19.688    
150   43.878     149.900   19.745    

Sprucefir ME_APH PublicOther untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     4.614      12.800    2.076     
10    9.918      22.700    4.463     
15    14.987     31.600    6.744     
20    19.631     39.900    8.834     
25    23.802     47.700    10.711    
30    27.505     55.100    12.377    
35    30.767     62.100    13.845    
40    33.627     68.900    15.132    
45    36.124     75.300    16.256    
50    38.298     81.500    17.234    
55    40.187     87.500    18.084    
60    41.825     93.200    18.821    
65    43.244     98.700    19.460    
70    44.472     104.100   20.012    
75    45.533     109.200   20.490    
80    46.449     114.200   20.902    
85    47.240     119.100   21.258    
90    47.922     123.800   21.565    
95    48.510     128.300   21.830    
100   49.017     132.700   22.058    
105   49.454     136.900   22.254    
110   49.830     141.100   22.424    
115   50.154     145.100   22.569    
120   50.434     149.000   22.695    
125   50.674     152.700   22.803    
130   50.881     156.400   22.896    
135   51.059     160.000   22.977    
140   51.212     163.400   23.045    
145   51.344     166.800   23.105    
150   51.457     170.100   23.156    

Sprucefir ME_NCZ Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.646      1.200     0.291     
10    6.117      8.700     2.753     
15    15.584     22.700    7.013     
20    24.742     39.500    11.134    
25    31.600     56.300    14.220    
30    36.123     71.200    16.255    
35    38.913     83.500    17.511    
40    40.573     93.200    18.258    
45    41.540     100.700   18.693    
50    42.098     106.400   18.944    
55    42.417     110.600   19.088    
60    42.599     113.700   19.170    
65    42.702     116.000   19.216    
70    42.761     117.600   19.242    
75    42.795     118.800   19.258    
80    42.814     119.700   19.266    
85    42.825     120.300   19.271    
90    42.831     120.800   19.274    
95    42.834     121.100   19.275    
100   42.836     121.300   19.276    
105   42.838     121.500   19.277    
110   42.838     121.600   19.277    
115   42.839     121.700   19.278    
120   42.839     121.800   19.278    
125   42.839     121.800   19.278    
130   42.839     121.900   19.278    
135   42.839     121.900   19.278    
140   42.839     121.900   19.278    
145   42.839     121.900   19.278    
150   42.839     121.900   19.278    

Sprucefir ME_NCZ NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.219      1.100     0.099     
10    2.671      5.300     1.202     
15    8.334      12.200    3.750     
20    15.501     20.900    6.975     
25    22.333     30.700    10.050    
30    27.929     40.900    12.568    
35    32.124     51.100    14.456    
40    35.108     60.900    15.799    
45    37.161     70.000    16.722    
50    38.544     78.500    17.345    
55    39.464     86.200    17.759    
60    40.071     93.100    18.032    
65    40.469     99.200    18.211    
70    40.728     104.700   18.328    
75    40.898     109.500   18.404    
80    41.008     113.700   18.454    
85    41.080     117.300   18.486    
90    41.127     120.500   18.507    
95    41.157     123.300   18.521    
100   41.177     125.700   18.530    
105   41.189     127.800   18.535    
110   41.198     129.500   18.539    
115   41.203     131.100   18.541    
120   41.207     132.400   18.543    
125   41.209     133.500   18.544    
130   41.210     134.500   18.544    
135   41.211     135.300   18.545    
140   41.212     136.000   18.545    
145   41.212     136.700   18.545    
150   41.213     137.200   18.546    

Sprucefir ME_NCZ State untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.445      8.600     0.200     
10    4.677      23.900    2.105     
15    12.931     40.500    5.819     
20    21.847     56.400    9.831     
25    29.213     70.700    13.146    
30    34.516     83.000    15.532    
35    38.055     93.500    17.125    
40    40.317     102.300   18.143    
45    41.727     109.600   18.777    
50    42.594     115.500   19.167    
55    43.121     120.400   19.404    
60    43.441     124.300   19.548    
65    43.633     127.500   19.635    
70    43.750     130.100   19.688    
75    43.820     132.200   19.719    
80    43.862     133.900   19.738    
85    43.887     135.200   19.749    
90    43.902     136.300   19.756    
95    43.911     137.200   19.760    
100   43.917     137.900   19.763    
105   43.920     138.400   19.764    
110   43.922     138.900   19.765    
115   43.923     139.200   19.765    
120   43.924     139.500   19.766    
125   43.924     139.700   19.766    
130   43.925     139.900   19.766    
135   43.925     140.100   19.766    
140   43.925     140.200   19.766    
145   43.925     140.300   19.766    
150   43.925     140.400   19.766    

Sprucefir ME_NH Industrial harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.183      0.300     0.082     
10    0.507      1.000     0.228     
15    0.914      2.100     0.411     
20    1.379      3.400     0.621     
25    1.890      5.000     0.850     
30    2.437      6.700     1.097     
35    3.012      8.700     1.355     
40    3.609      10.700    1.624     
45    4.225      12.900    1.901     
50    4.854      15.200    2.184     
55    5.495      17.500    2.473     
60    6.144      20.000    2.765     
65    6.799      22.400    3.060     
70    7.457      25.000    3.356     
75    8.117      27.500    3.653     
80    8.778      30.100    3.950     
85    9.438      32.700    4.247     
90    10.096     35.300    4.543     
95    10.751     37.900    4.838     
100   11.401     40.500    5.130     
105   12.047     43.100    5.421     
110   12.687     45.600    5.709     
115   13.321     48.200    5.994     
120   13.949     50.700    6.277     
125   14.569     53.200    6.556     
130   15.181     55.600    6.831     
135   15.786     58.100    7.104     
140   16.382     60.500    7.372     
145   16.970     62.800    7.636     
150   17.549     65.100    7.897     

Sprucefir ME_NH Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.389      7.000     0.175     
10    4.214      17.200    1.896     
15    11.924     28.300    5.366     
20    20.512     39.400    9.230     
25    27.807     50.000    12.513    
30    33.190     60.000    14.935    
35    36.864     69.200    16.589    
40    39.261     77.700    17.667    
45    40.784     85.500    18.353    
50    41.737     92.500    18.782    
55    42.326     98.800    19.047    
60    42.689     104.500   19.210    
65    42.912     109.600   19.310    
70    43.049     114.200   19.372    
75    43.132     118.300   19.409    
80    43.183     121.900   19.432    
85    43.214     125.100   19.446    
90    43.233     128.000   19.455    
95    43.245     130.600   19.460    
100   43.252     132.900   19.463    
105   43.256     134.900   19.465    
110   43.259     136.700   19.467    
115   43.260     138.300   19.467    
120   43.261     139.700   19.467    
125   43.262     140.900   19.468    
130   43.262     142.000   19.468    
135   43.263     143.000   19.468    
140   43.263     143.800   19.468    
145   43.263     144.600   19.468    
150   43.263     145.300   19.468    

Sprucefir ME_NH NIPF harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     1.992      1.700     0.896     
10    11.809     14.300    5.314     
15    21.565     33.400    9.704     
20    27.328     49.900    12.298    
25    30.139     60.900    13.563    
30    31.409     67.600    14.134    
35    31.965     71.400    14.384    
40    32.205     73.500    14.492    
45    32.308     74.600    14.539    
50    32.352     75.200    14.558    
55    32.371     75.500    14.567    
60    32.379     75.700    14.571    
65    32.382     75.800    14.572    
70    32.384     75.900    14.573    
75    32.385     75.900    14.573    
80    32.385     75.900    14.573    
85    32.385     75.900    14.573    
90    32.385     75.900    14.573    
95    32.385     75.900    14.573    
100   32.385     75.900    14.573    
105   32.385     75.900    14.573    
110   32.385     75.900    14.573    
115   32.385     75.900    14.573    
120   32.385     75.900    14.573    
125   32.385     75.900    14.573    
130   32.385     75.900    14.573    
135   32.385     75.900    14.573    
140   32.385     75.900    14.573    
145   32.385     75.900    14.573    
150   32.385     75.900    14.573    

Sprucefir ME_NH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.483      0.200     0.217     
10    4.888      3.100     2.200     
15    13.115     11.800    5.902     
20    21.653     25.600    9.744     
25    28.459     42.000    12.807    
30    33.205     58.500    14.942    
35    36.282     73.300    16.327    
40    38.199     85.800    17.190    
45    39.364     95.800    17.714    
50    40.064     103.600   18.029    
55    40.480     109.600   18.216    
60    40.727     114.100   18.327    
65    40.873     117.400   18.393    
70    40.959     119.900   18.432    
75    41.010     121.700   18.454    
80    41.040     123.000   18.468    
85    41.058     124.000   18.476    
90    41.068     124.700   18.481    
95    41.074     125.200   18.483    
100   41.078     125.500   18.485    
105   41.080     125.800   18.486    
110   41.081     126.000   18.486    
115   41.082     126.100   18.487    
120   41.082     126.200   18.487    
125   41.083     126.300   18.487    
130   41.083     126.400   18.487    
135   41.083     126.400   18.487    
140   41.083     126.400   18.487    
145   41.083     126.400   18.487    
150   41.083     126.500   18.487    

Sprucefir ME_NH State untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.426      0.200     0.192     
10    4.523      2.500     2.035     
15    12.591     9.700     5.666     
20    21.388     21.800    9.625     
25    28.717     36.900    12.923    
30    34.032     52.600    15.314    
35    37.603     67.300    16.921    
40    39.900     80.200    17.955    
45    41.340     90.900    18.603    
50    42.229     99.500    19.003    
55    42.773     106.300   19.248    
60    43.105     111.500   19.397    
65    43.305     115.500   19.487    
70    43.427     118.500   19.542    
75    43.501     120.800   19.575    
80    43.545     122.500   19.595    
85    43.572     123.800   19.607    
90    43.588     124.700   19.615    
95    43.598     125.400   19.619    
100   43.604     125.900   19.622    
105   43.608     126.300   19.624    
110   43.610     126.600   19.625    
115   43.611     126.800   19.625    
120   43.612     127.000   19.625    
125   43.612     127.100   19.625    
130   43.613     127.200   19.626    
135   43.613     127.200   19.626    
140   43.613     127.300   19.626    
145   43.613     127.300   19.626    
150   43.613     127.300   19.626    

White_Red_pine ME_APH Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     1.889      1.000     0.850     
10    5.664      6.900     2.549     
15    10.274     18.800    4.623     
20    15.194     35.000    6.837     
25    20.119     53.400    9.054     
30    24.868     72.100    11.191    
35    29.335     90.000    13.201    
40    33.466     106.200   15.060    
45    37.240     120.400   16.758    
50    40.654     132.700   18.294    
55    43.721     143.000   19.674    
60    46.460     151.600   20.907    
65    48.895     158.700   22.003    
70    51.051     164.500   22.973    
75    52.955     169.200   23.830    
80    54.630     173.000   24.584    
85    56.103     176.100   25.246    
90    57.394     178.500   25.827    
95    58.525     180.500   26.336    
100   59.514     182.100   26.781    
105   60.378     183.400   27.170    
110   61.132     184.400   27.509    
115   61.790     185.200   27.805    
120   62.363     185.800   28.063    
125   62.862     186.300   28.288    
130   63.297     186.700   28.484    
135   63.675     187.100   28.654    
140   64.004     187.300   28.802    
145   64.290     187.500   28.931    
150   64.538     187.700   29.042    

White_Red_pine ME_APH NIPF harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.199      2.100     0.090     
10    2.424      18.300    1.091     
15    7.568      43.800    3.406     
20    14.083     66.500    6.337     
25    20.299     82.300    9.135     
30    25.391     92.100    11.426    
35    29.213     97.800    13.146    
40    31.931     101.000   14.369    
45    33.803     102.800   15.211    
50    35.064     103.800   15.779    
55    35.904     104.300   16.157    
60    36.457     104.600   16.406    
65    36.821     104.700   16.569    
70    37.058     104.800   16.676    
75    37.213     104.900   16.746    
80    37.314     104.900   16.791    
85    37.379     104.900   16.821    
90    37.422     104.900   16.840    
95    37.450     104.900   16.853    
100   37.468     104.900   16.861    
105   37.479     104.900   16.866    
110   37.487     104.900   16.869    
115   37.492     104.900   16.871    
120   37.495     104.900   16.873    
125   37.497     104.900   16.874    
130   37.498     104.900   16.874    
135   37.499     104.900   16.875    
140   37.500     104.900   16.875    
145   37.500     104.900   16.875    
150   37.501     104.900   16.875    

White_Red_pine ME_APH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     13.752     40.400    6.188     
10    20.079     59.900    9.036     
15    24.984     75.200    11.243    
20    29.118     88.200    13.103    
25    32.740     99.600    14.733    
30    35.988     109.900   16.195    
35    38.944     119.300   17.525    
40    41.664     127.900   18.749    
45    44.186     136.000   19.884    
50    46.540     143.500   20.943    
55    48.748     150.600   21.937    
60    50.827     157.300   22.872    
65    52.791     163.600   23.756    
70    54.652     169.600   24.593    
75    56.420     175.300   25.389    
80    58.102     180.800   26.146    
85    59.706     186.000   26.868    
90    61.238     190.900   27.557    
95    62.703     195.700   28.216    
100   64.106     200.200   28.848    
105   65.452     204.600   29.453    
110   66.743     208.800   30.034    
115   67.983     212.800   30.592    
120   69.176     216.700   31.129    
125   70.323     220.500   31.645    
130   71.428     224.100   32.143    
135   72.493     227.500   32.622    
140   73.519     230.900   33.084    
145   74.510     234.100   33.530    
150   75.465     237.300   33.959    

White_Red_pine ME_NCZ NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.081      0.300     0.036     
10    1.289      4.000     0.580     
15    5.027      15.800    2.262     
20    11.294     35.600    5.082     
25    19.049     60.400    8.572     
30    27.117     86.300    12.203    
35    34.655     110.700   15.595    
40    41.218     132.100   18.548    
45    46.666     149.900   21.000    
50    51.040     164.300   22.968    
55    54.470     175.700   24.512    
60    57.115     184.400   25.702    
65    59.131     191.200   26.609    
70    60.653     196.300   27.294    
75    61.795     200.100   27.808    
80    62.648     203.000   28.192    
85    63.283     205.200   28.477    
90    63.755     206.800   28.690    
95    64.104     208.000   28.847    
100   64.363     208.800   28.963    
105   64.554     209.500   29.049    
110   64.695     210.000   29.113    
115   64.799     210.300   29.160    
120   64.876     210.600   29.194    
125   64.933     210.800   29.220    
130   64.975     211.000   29.239    
135   65.006     211.100   29.253    
140   65.029     211.100   29.263    
145   65.046     211.200   29.271    
150   65.058     211.200   29.276    

