cycle,sim,scenario,n_conditions,mean_ba,mean_vol,mean_carbon,total_tpa,n_harvested,harvest_rate,n_planted,plant_rate,gross_growth,mortality,harvest_removals,net_change,gr_ratio,climate_rcp
12,17,Harvest_m25_mill,23497,52.00441927172348,2013.0900237002477,41963.72079234953,2389.086258309678,1292,0.05498574286079074,917,0.039026258671319744,269.42696382961765,847.8263407000258,42.31850964392212,-620.7178865143302,6.366645850636977,4.5
13,17,Harvest_m25_mill,23494,49.89265859282453,1966.6006811696097,40616.412220418366,3554.529993961057,1151,0.04899123180386482,814,0.03464714395164723,262.2526772903279,830.2407928182025,38.29472596949861,-606.2828414973733,6.848271417301946,4.5
14,17,Harvest_m25_mill,23488,47.822255619362835,1925.8477597580336,39203.6916490065,5346.581695316965,1127,0.04798194822888283,779,0.03316587193460491,251.8344179650671,824.7193591339753,35.4240772272064,-608.3090183961147,7.109131350121753,4.5
15,17,Harvest_m25_mill,23486,45.83551547375127,1855.7528784913625,37438.35963074302,8594.55705878261,1137,0.04841181980754492,793,0.03376479604870987,249.35203848954413,812.1181155100064,36.664839253088,-599.4309162735502,6.800849085095692,4.5
1,18,Harvest_m25_mill,26540,68.61555494251367,1341.0303914489784,35706.570284371075,503.1464685122545,1901,0.07162773172569706,1498,0.05644310474755087,431.9967072912746,94.06722543020508,55.331917605873755,282.5975642551958,7.8073691638226546,4.5
2,18,Harvest_m25_mill,23895,73.92731636690027,1585.6532400731346,41229.23591274272,530.2782632120969,1761,0.07369742623979912,1420,0.05942665829671479,500.19635068067447,262.9751146269262,58.95676816066449,178.26446789308378,8.484120929382993,4.5
3,18,Harvest_m25_mill,23466,76.43385646081698,1826.5672123143636,45821.728297048394,556.8015848666904,1699,0.07240262507457598,1352,0.05761527316116935,463.5696897388322,373.41504168173657,58.29243623281152,31.862211824284124,7.952484399303578,4.5
4,18,Harvest_m25_mill,23304,75.98062404765126,2017.3638254141663,48828.73668460554,581.3889063941858,1634,0.07011671815997254,1274,0.054668726398901475,421.0222137403163,508.8094359754791,60.434080573932626,-148.22130280909542,6.966635543089874,4.5
5,18,Harvest_m25_mill,23221,73.71733428323051,2136.4955296664943,50198.67857421895,629.0067782343315,1551,0.06679298910468973,1214,0.05228026355454115,386.428322834133,625.565857794924,56.100588264718084,-295.23812322550907,6.888133169133977,4.5
6,18,Harvest_m25_mill,23191,70.41860651774776,2180.9752158201422,50122.850417348796,692.6601312711538,1481,0.06386098055280065,1165,0.05023500495882023,354.8390177223037,701.4972188697012,58.62303955351901,-405.2812407009165,6.052893545350184,4.5
7,18,Harvest_m25_mill,23173,66.57983913437033,2188.3383647046107,49130.144524448246,793.1084577416127,1469,0.06339274155266905,1144,0.049367798731282095,345.89085458043587,747.5438697950868,56.33975407987297,-457.99276929452395,6.139374589567178,4.5
8,18,Harvest_m25_mill,23159,62.841957815241294,2192.1830084088997,47885.52629025074,941.2805532991853,1380,0.05958806511507405,1044,0.04507966665227341,336.5392031383143,783.137541942186,53.82286919817478,-500.42120800204646,6.252717630105956,4.5
9,18,Harvest_m25_mill,23151,59.45092285570252,2171.4613978723473,46335.14786463865,1181.4582368158694,1351,0.058356010539501534,1011,0.043669819878191005,319.32781593458486,821.4340884135778,52.347071021626164,-554.4533435006191,6.100204074506114,4.5
10,18,Harvest_m25_mill,23145,56.289823585936794,2138.267893100918,44692.92826353527,1515.5813370278506,1382,0.05971052063080579,1004,0.043378699503132424,306.2215498853173,841.702179742699,51.81811833468216,-587.2987481920638,5.909545921901249,4.5
11,18,Harvest_m25_mill,23134,53.409777349059695,2119.1283532628263,43177.322256568346,2072.604626244921,1287,0.055632402524422926,957,0.04136768392841705,297.80518544986086,851.838665096819,47.924948980894705,-601.9584286278528,6.213990662120079,4.5
12,18,Harvest_m25_mill,23125,51.2489013609965,2069.783959109271,41830.62209064653,2951.9787137543453,1173,0.050724324324324326,886,0.03831351351351352,285.68173633851626,871.8254832514496,39.384692647915145,-625.5284395608484,7.253623606826319,4.5
13,18,Harvest_m25_mill,23117,48.993804657307145,2061.946426852362,40499.27698036971,4355.388006068154,1238,0.05355366180732794,916,0.03962451875243327,280.53797232844124,862.4868566905551,41.96036444644931,-623.9092488085631,6.685784931312254,4.5
14,18,Harvest_m25_mill,23114,47.12813140249764,2037.0283140230213,39331.065664528265,6803.325206829566,1162,0.05027256208358571,855,0.03699056848663148,276.9084944820344,885.4242846448917,39.25524130458332,-647.7710314674406,7.054051517184368,4.5
15,18,Harvest_m25_mill,23110,45.49478118564982,2003.1447306359196,38138.40108945584,11114.904766411728,1177,0.05093033318909563,878,0.03799221116399827,271.97885492401,893.3831778590791,39.03280588784981,-660.4371288229189,6.967955511716671,4.5
1,19,Harvest_m25_mill,26637,68.77532793709013,1346.4471258218446,35800.13535327732,499.5976520654879,1914,0.07185493861921388,1515,0.056875774298907535,425.20413536624415,95.17535966503532,53.92664454845936,276.10213115274945,7.884861721447342,4.5
2,19,Harvest_m25_mill,23961,74.14038665248329,1597.655791964866,41378.48004204384,529.8554198270027,1717,0.07165811109719962,1361,0.056800634364175116,490.2754072877196,266.9763596390078,59.1512186572641,164.14782899144768,8.288508984548384,4.5
3,19,Harvest_m25_mill,23548,76.1878462395266,1821.900237138534,45598.060387928934,553.1645877094466,1657,0.07036691014098861,1319,0.056013249532869035,460.39208289362733,384.2914697420645,57.58027470277967,18.520338448783143,7.995656242873084,4.5
4,19,Harvest_m25_mill,23380,75.41135923975934,1995.1076213709396,48294.38640997938,580.0160106100903,1630,0.06971770744225834,1303,0.055731394354148846,424.1919919738868,504.6003798433277,61.05770062609489,-141.46608849553579,6.947395457479695,4.5
5,19,Harvest_m25_mill,23326,72.74944746536025,2105.6877932844372,49352.055525107855,626.38573224956,1536,0.0658492669124582,1200,0.05144473977535797,392.7189637186177,612.9873443639501,56.864583432691305,-277.1329640780237,6.906213674869631,4.5
6,19,Harvest_m25_mill,23288,69.44899500593408,2153.2753237275056,49262.629004530296,703.4230857646269,1491,0.06402439024390244,1156,0.04963929920989351,359.7976264296953,694.9626158556841,55.98135620534483,-391.14634563133365,6.427097355589673,4.5
7,19,Harvest_m25_mill,23266,65.8115162669582,2162.7937046809548,48300.17452044722,780.4866402857251,1532,0.06584715894438237,1147,0.04929940685979541,344.55389126343636,741.5421539288124,57.915310937721124,-454.90357360309713,5.949271197627692,4.5
